Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Réunion,Africa,85960,9601.122,9358,1045.222,0,419,46.799,10,1.117,0
Democratic Republic of the Congo,Africa,80175,89.52,4154,4.638,0,1225,1.368,20,0.022,0
Malawi,Africa,78405,409.855,4204,21.976,776,2400,12.546,45,0.235,5
Senegal,Africa,77272,461.493,2402,14.345,519,1892,11.3,2,0.012,0
Côte d’Ivoire,Africa,75715,287.035,7569,28.694,651,730,2.767,18,0.068,3
Mauritius,Africa,68945,5421.193,635,49.93,635,786,61.804,0,0,0
Eswatini,Africa,67021,5776.856,1189,102.486,148,1326,114.294,27,2.327,6
Malta,Europe,58272,11324.539,7205,1400.215,1144,484,94.06,8,1.555,2
Guadeloupe,Americas,56515,14124.371,720,179.944,0,831,207.686,0,0,0
French Guiana,Americas,55701,18648.931,7302,2444.741,3236,342,114.503,3,1.004,3
Fiji,Western Pacific,55649,6207.743,2317,258.465,0,704,78.532,6,0.669,0
Suriname,Americas,55376,9439.649,3345,570.204,916,1193,203.364,4,0.682,1
Madagascar,Africa,52434,189.354,2155,7.782,0,1067,3.853,40,0.144,0
Martinique,Americas,51840,13814.238,2471,658.468,0,788,209.985,5,1.332,0
Syrian Arab Republic,Eastern Mediterranean,50390,287.932,186,1.063,0,2912,16.639,23,0.131,0
Sudan,Eastern Mediterranean,47443,108.196,726,1.656,0,3340,7.617,5,0.011,0
Cabo Verde,Africa,47376,8521.063,6638,1193.913,1387,360,64.75,8,1.439,3
French Polynesia,Western Pacific,46534,16565.566,109,38.803,0,636,226.409,0,0,0
Mauritania,Africa,45825,985.556,4671,100.459,3643,880,18.926,17,0.366,8
Gabon,Africa,42640,1915.773,1567,70.404,0,290,13.029,2,0.09,0
Guyana,Americas,41418,5265.768,2180,277.159,779,1060,134.765,9,1.144,2
Papua New Guinea,Western Pacific,36326,406.012,168,1.878,41,591,6.606,1,0.011,0
Iceland,Europe,35055,9626.951,6624,1819.111,1378,39,10.71,2,0.549,0
Burundi,Africa,34722,292.008,4815,40.494,1171,14,0.118,0,0,0
Belize,Americas,34628,8708.642,2561,644.069,541,605,152.152,8,2.012,0
Guinea,Africa,33701,256.617,2060,15.686,272,397,3.023,6,0.046,4
Togo,Africa,33031,398.987,2868,34.643,516,252,3.044,4,0.048,1
United Republic of Tanzania,Africa,30564,51.167,1258,2.106,0,740,1.239,3,0.005,0
Barbados,Americas,30177,10500.913,1867,649.674,0,263,91.518,3,1.044,0
Lesotho,Africa,29999,1400.351,1591,74.268,0,673,31.416,8,0.373,0
Bahamas,Americas,26701,6789.932,2432,618.446,375,717,182.33,1,0.254,0
Andorra,Europe,26408,34178.477,3286,4252.896,1119,141,182.489,1,1.294,0
Haiti,Americas,26304,230.686,319,2.798,45,774,6.788,8,0.07,0
Seychelles,Africa,26255,26696.29,1604,1630.96,0,126,128.118,0,0,0
Benin,Africa,25522,210.522,587,4.842,0,161,1.328,0,0,0
Curaçao,Americas,24748,15081.691,4549,2772.208,1054,189,115.179,2,1.219,0
Mayotte,Africa,24671,9043.124,2760,1011.675,0,186,68.178,1,0.367,0
Somalia,Eastern Mediterranean,24261,152.65,729,4.587,729,1335,8.4,2,0.013,2
Aruba,Americas,24210,22675.758,5189,4860.161,516,181,169.53,0,0,0
Mali,Africa,23601,116.543,2930,14.469,766,670,3.309,12,0.059,0
Jersey,Europe,22206,20600.022,3197,2965.787,650,89,82.563,0,0,0
Congo,Africa,21844,395.862,1755,31.805,567,370,6.705,3,0.054,1
Timor-Leste,South-East Asia,19855,1505.941,18,1.365,11,122,9.253,0,0,0
Burkina Faso,Africa,18637,89.158,1005,4.808,0,333,1.593,15,0.072,0
Isle of Man,Europe,18274,21490.733,2908,3419.889,326,68,79.97,1,1.176,1
Tajikistan,Europe,17493,183.41,0,0,0,125,1.311,0,0,0
South Sudan,Africa,16042,143.312,800,7.147,105,136,1.215,1,0.009,0
Guam,Western Pacific,15846,9388.831,494,292.697,200,273,161.754,3,1.778,0
Brunei Darussalam,Western Pacific,15550,3554.456,80,18.287,18,59,13.486,2,0.457,1
Saint Lucia,Americas,14232,7750.494,759,413.338,258,305,166.098,10,5.446,0
New Zealand,Western Pacific,14150,293.433,404,8.378,59,51,1.058,0,0,0
Equatorial Guinea,Africa,13876,989.034,166,11.832,0,175,12.473,0,0,0
Djibouti,Eastern Mediterranean,13839,1400.709,220,22.267,70,189,19.13,0,0,0
Nicaragua,Americas,13589,205.131,26,0.392,0,218,3.291,1,0.015,0
New Caledonia,Western Pacific,13116,4594.078,218,76.358,32,281,98.425,0,0,0
Central African Republic,Africa,12454,257.859,291,6.025,0,101,2.091,0,0,0
United States Virgin Islands,Americas,11160,10687.096,2105,2015.801,446,89,85.229,0,0,0
Gambia,Africa,10792,446.565,622,25.738,416,343,14.193,0,0,0
Yemen,Eastern Mediterranean,10146,34.017,21,0.07,3,1985,6.655,1,0.003,1
Cayman Islands,Americas,9720,14790.018,902,1372.489,211,12,18.259,1,1.522,0
Guernsey,Europe,9498,14732.891,1680,2605.944,229,26,40.33,2,3.102,0
Gibraltar,Europe,9416,27948.117,883,2620.878,120,100,296.815,0,0,0
San Marino,Europe,9095,26798.869,725,2136.248,248,103,303.495,3,8.84,0
Eritrea,Africa,8211,231.529,229,6.457,50,79,2.228,4,0.113,1
Niger,Africa,7590,31.355,225,0.929,0,277,1.144,3,0.012,0
Comoros,Africa,7497,862.12,982,112.925,92,159,18.284,1,0.115,0
Sierra Leone,Africa,7352,92.165,369,4.626,44,123,1.542,0,0,0
Grenada,Americas,7101,6310.71,1028,913.591,314,200,177.741,0,0,0
Dominica,Americas,7073,9824.839,514,713.978,0,47,65.286,2,2.778,0
Bermuda,Americas,7011,11258.491,680,1091.966,75,110,176.642,4,6.423,0
Faroe Islands,Europe,6855,14028.446,1091,2232.682,0,15,30.697,1,2.046,0
Liberia,Africa,6851,135.457,447,8.838,447,287,5.675,0,0,0
Guinea-Bissau,Africa,6612,335.975,136,6.911,81,149,7.571,0,0,0
Liechtenstein,Europe,6597,17025.834,308,794.9,0,67,172.917,0,0,0
Saint Vincent and the Grenadines,Americas,6247,5630.972,397,357.851,256,83,74.815,2,1.803,2
Chad,Africa,6185,37.654,482,2.934,0,184,1.12,3,0.018,0
Sint Maarten,Americas,5945,13863.626,891,2077.795,237,75,174.899,0,0,0
Monaco,Europe,5593,14251.86,508,1294.465,101,42,107.023,4,10.193,1
Antigua and Barbuda,Americas,4715,4814.713,420,428.882,43,119,121.517,1,1.021,0
Saint Martin,Americas,4247,10985.799,129,333.687,0,40,103.469,1,2.587,0
Sao Tome and Principe,Africa,4151,1894.059,274,125.023,117,61,27.834,4,1.825,0
British Virgin Islands,Americas,3760,12435.096,504,1666.832,0,40,132.288,1,3.307,0
Bonaire,Americas,3751,17934.497,457,2185.035,129,23,109.969,0,0,0
Saint Kitts and Nevis,Americas,3666,6892.014,748,1406.227,177,28,52.639,0,0,0
Turks and Caicos Islands,Americas,3562,9199.855,279,720.595,0,26,67.152,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,3518,6112.202,310,538.597,65,18,31.273,5,8.687,0
Greenland,Europe,3404,5995.913,903,1590.573,0,1,1.761,0,0,0
Bhutan,South-East Asia,2753,356.787,93,12.053,82,3,0.389,0,0,0
Saint Barthélemy,Americas,1955,19777.441,229,2316.641,0,4,40.465,0,0,0
Anguilla,Americas,1777,11845.087,103,686.575,0,6,39.995,1,6.666,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,142,4523.734,110,3504.301,26,0,0,0,0,0
Saint Pierre and Miquelon,Americas,113,1949.957,15,258.844,0,0,0,0,0,0
Saba,Americas,95,4914.64,64,3310.916,11,0,0,0,0,0
Montserrat,Americas,90,1800.36,45,900.18,14,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,85,2440.425,3,86.133,0,0,0,0,0,0
Solomon Islands,Western Pacific,28,4.076,4,0.582,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Palau,Western Pacific,16,88.437,6,33.164,1,0,0,0,0,0
American Samoa,Western Pacific,11,19.929,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,7,11.826,3,5.068,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
